time,P_l
2016-06-11 03:55:00+0000,16619.6
2016-06-11 04:00:00+0000,17484.4
2016-06-11 04:05:00+0000,17417.8
2016-06-11 04:10:00+0000,17116.0
2016-06-11 04:15:00+0000,15445.3
2016-06-11 04:20:00+0000,15733.7
2016-06-11 04:25:00+0000,15433.0
2016-06-11 04:30:00+0000,16122.2
2016-06-11 04:35:00+0000,16631.0
2016-06-11 04:40:00+0000,16355.6
2016-06-11 04:45:00+0000,16160.6
2016-06-11 04:50:00+0000,15224.5
2016-06-11 04:55:00+0000,15937.8
2016-06-11 05:00:00+0000,15216.5
2016-06-11 05:05:00+0000,14840.0
2016-06-11 05:10:00+0000,14970.9
2016-06-11 05:15:00+0000,15590.7
2016-06-11 05:20:00+0000,16252.2
2016-06-11 05:25:00+0000,15854.8
2016-06-11 05:30:00+0000,14989.2
2016-06-11 05:35:00+0000,14209.5
2016-06-11 05:40:00+0000,14609.792
2016-06-11 05:45:00+0000,14229.021
2016-06-11 05:50:00+0000,14055.049
2016-06-11 05:55:00+0000,13632.927
2016-06-11 06:00:00+0000,13370.61
2016-06-11 06:05:00+0000,14603.67
2016-06-11 06:10:00+0000,14084.38
2016-06-11 06:15:00+0000,13543.85
2016-06-11 06:20:00+0000,13594.72
2016-06-11 06:25:00+0000,13758.85
2016-06-11 06:30:00+0000,14341.52
2016-06-11 06:35:00+0000,13419.57
2016-06-11 06:40:00+0000,14139.89
2016-06-11 06:45:00+0000,15142.55
2016-06-11 06:50:00+0000,14468.54
2016-06-11 06:55:00+0000,15354.74
2016-06-11 07:00:00+0000,15400.0
2016-06-11 07:05:00+0000,14189.52
2016-06-11 07:10:00+0000,16781.44
2016-06-11 07:15:00+0000,14075.33
2016-06-11 07:20:00+0000,15462.34
2016-06-11 07:25:00+0000,15374.85
2016-06-11 07:30:00+0000,14357.729
2016-06-11 07:35:00+0000,14034.9
2016-06-11 07:40:00+0000,15450.64
2016-06-11 07:45:00+0000,15819.44
2016-06-11 07:50:00+0000,15358.68
2016-06-11 07:55:00+0000,13800.53
2016-06-11 08:00:00+0000,14501.26
2016-06-11 08:05:00+0000,14300.14
2016-06-11 08:10:00+0000,13836.6
2016-06-11 08:15:00+0000,16417.99
2016-06-11 08:20:00+0000,16457.37
2016-06-11 08:25:00+0000,15812.65
2016-06-11 08:30:00+0000,14860.71
2016-06-11 08:35:00+0000,16097.23
2016-06-11 08:40:00+0000,16090.98
2016-06-11 08:45:00+0000,17478.509
2016-06-11 08:50:00+0000,16757.34
2016-06-11 08:55:00+0000,18617.01
2016-06-11 09:00:00+0000,20074.15
2016-06-11 09:05:00+0000,20530.56
2016-06-11 09:10:00+0000,20160.65
2016-06-11 09:15:00+0000,19949.6
2016-06-11 09:20:00+0000,20901.31
2016-06-11 09:25:00+0000,21629.03
2016-06-11 09:30:00+0000,20339.05
2016-06-11 09:35:00+0000,21066.29
2016-06-11 09:40:00+0000,21426.12
2016-06-11 09:45:00+0000,20496.99
2016-06-11 09:50:00+0000,20607.85
2016-06-11 09:55:00+0000,20122.4
2016-06-11 10:00:00+0000,20214.73
2016-06-11 10:05:00+0000,21100.63
2016-06-11 10:10:00+0000,20901.31
2016-06-11 10:15:00+0000,20316.34
2016-06-11 10:20:00+0000,20565.38
2016-06-11 10:25:00+0000,21156.59
2016-06-11 10:30:00+0000,22176.46
2016-06-11 10:35:00+0000,22599.52
2016-06-11 10:40:00+0000,20755.51
2016-06-11 10:45:00+0000,20501.13
2016-06-11 10:50:00+0000,19859.73
2016-06-11 10:55:00+0000,20084.06
2016-06-11 11:00:00+0000,19501.73
2016-06-11 11:05:00+0000,19406.68
2016-06-11 11:10:00+0000,21170.44
2016-06-11 11:15:00+0000,22974.07
2016-06-11 11:20:00+0000,20591.04
2016-06-11 11:25:00+0000,20173.16
2016-06-11 11:30:00+0000,21291.72
2016-06-11 11:35:00+0000,23510.55
2016-06-11 11:40:00+0000,22624.59
2016-06-11 11:45:00+0000,22895.11
2016-06-11 11:50:00+0000,22693.17
2016-06-11 11:55:00+0000,23946.3
2016-06-11 12:00:00+0000,25686.5
2016-06-11 12:05:00+0000,24839.676
2016-06-11 12:10:00+0000,22473.024
2016-06-11 12:15:00+0000,23401.93
2016-06-11 12:20:00+0000,21455.35
2016-06-11 12:25:00+0000,22021.442
2016-06-11 12:30:00+0000,22572.601
2016-06-11 12:35:00+0000,21683.048
2016-06-11 12:40:00+0000,26337.88
2016-06-11 12:45:00+0000,27567.57
2016-06-11 12:50:00+0000,30946.9
2016-06-11 12:55:00+0000,29867.7
2016-06-11 13:00:00+0000,27093.71
