time,P_pv,P_fu,P_fs,P_tu,P_ts,P_l
2016-06-10 22:10:00+0000,0.0,29319.1,0.0,0.0,20.0,29299.1
2016-06-10 22:15:00+0000,0.0,31340.5,0.0,0.0,10.0,31330.5
2016-06-10 22:20:00+0000,0.0,31797.8,0.0,0.0,20.0,31777.8
2016-06-10 22:25:00+0000,0.0,30925.0,0.0,0.0,20.0,30905.0
2016-06-10 22:30:00+0000,0.0,32133.3,0.0,0.0,20.0,32113.3
2016-06-10 22:35:00+0000,0.0,56770.899999999994,0.0,0.0,30.0,56740.9
2016-06-10 22:40:00+0000,0.0,27818.4,0.0,0.0,10.0,27808.4
2016-06-10 22:45:00+0000,0.0,28291.5,0.0,0.0,0.0,28291.5
2016-06-10 22:50:00+0000,0.0,27945.5,0.0,0.0,0.0,27945.5
2016-06-10 22:55:00+0000,0.0,29413.3,0.0,0.0,20.0,29393.3
2016-06-10 23:00:00+0000,0.0,30530.7,0.0,0.0,20.0,30510.7
2016-06-10 23:05:00+0000,0.0,32276.4,0.0,0.0,10.0,32266.4
2016-06-10 23:10:00+0000,0.0,32669.8,0.0,0.0,10.0,32659.8
2016-06-10 23:15:00+0000,0.0,30515.3,0.0,0.0,20.0,30495.3
2016-06-10 23:20:00+0000,0.0,26708.7,0.0,0.0,20.0,26688.7
2016-06-10 23:25:00+0000,0.0,29740.8,0.0,0.0,20.0,29720.8
2016-06-10 23:30:00+0000,0.0,27929.4,0.0,0.0,20.0,27909.4
2016-06-10 23:35:00+0000,0.0,27479.9,0.0,0.0,20.0,27459.9
2016-06-10 23:40:00+0000,0.0,28454.4,0.0,0.0,10.0,28444.4
2016-06-10 23:45:00+0000,0.0,27526.3,0.0,0.0,10.0,27516.3
2016-06-10 23:50:00+0000,0.0,27392.5,0.0,0.0,20.0,27372.5
2016-06-10 23:55:00+0000,0.0,28898.1,0.0,0.0,20.0,28878.1
2016-06-11 00:00:00+0000,0.0,27610.7,0.0,0.0,20.0,27590.7
2016-06-11 00:05:00+0000,0.0,26031.4,0.0,0.0,20.0,26011.4
2016-06-11 00:10:00+0000,0.0,24001.5,0.0,0.0,10.0,23991.5
2016-06-11 00:15:00+0000,0.0,22657.2,0.0,0.0,10.0,22647.2
2016-06-11 00:20:00+0000,0.0,22453.2,0.0,0.0,10.0,22443.2
2016-06-11 00:25:00+0000,0.0,21688.8,0.0,0.0,20.0,21668.8
2016-06-11 00:30:00+0000,0.0,22292.7,0.0,0.0,20.0,22272.7
2016-06-11 00:35:00+0000,0.0,20932.2,0.0,0.0,20.0,20912.2
2016-06-11 00:40:00+0000,0.0,20512.2,0.0,0.0,20.0,20492.2
2016-06-11 00:45:00+0000,0.0,19586.0,0.0,0.0,20.0,19566.0
2016-06-11 00:50:00+0000,0.0,19887.7,0.0,0.0,10.0,19877.7
2016-06-11 00:55:00+0000,0.0,20999.3,0.0,0.0,10.0,20989.3
2016-06-11 01:00:00+0000,0.0,20909.8,0.0,0.0,20.0,20889.8
2016-06-11 01:05:00+0000,0.0,20019.4,0.0,0.0,10.0,20009.4
2016-06-11 01:10:00+0000,0.0,19728.9,0.0,0.0,10.0,19718.9
2016-06-11 01:15:00+0000,0.0,18711.2,0.0,0.0,10.0,18701.2
2016-06-11 01:20:00+0000,0.0,20517.1,0.0,0.0,20.0,20497.1
2016-06-11 01:25:00+0000,0.0,20045.7,0.0,0.0,20.0,20025.7
2016-06-11 01:30:00+0000,0.0,19014.0,0.0,0.0,20.0,18994.0
2016-06-11 01:35:00+0000,0.0,18499.0,0.0,0.0,20.0,18479.0
2016-06-11 01:40:00+0000,0.0,19082.8,0.0,0.0,20.0,19062.8
2016-06-11 01:45:00+0000,0.0,18948.6,0.0,0.0,20.0,18928.6
2016-06-11 01:50:00+0000,0.0,18487.9,0.0,0.0,20.0,18467.9
2016-06-11 01:55:00+0000,0.0,19903.9,0.0,0.0,20.0,19883.9
2016-06-11 02:00:00+0000,0.0,19081.0,0.0,0.0,20.0,19061.0
2016-06-11 02:05:00+0000,0.0,19216.3,0.0,0.0,20.0,19196.3
2016-06-11 02:10:00+0000,0.0,19314.8,0.0,0.0,20.0,19294.8
2016-06-11 02:15:00+0000,0.0,18712.2,0.0,0.0,20.0,18692.2
2016-06-11 02:20:00+0000,0.0,18637.7,0.0,0.0,20.0,18617.7
2016-06-11 02:25:00+0000,0.0,17944.9,0.0,0.0,20.0,17924.9
2016-06-11 02:30:00+0000,0.0,18627.1,0.0,0.0,20.0,18607.1
2016-06-11 02:35:00+0000,0.0,17510.7,0.0,0.0,20.0,17490.7
2016-06-11 02:40:00+0000,0.0,18425.0,0.0,0.0,20.0,18405.0
2016-06-11 02:45:00+0000,0.0,19358.6,0.0,0.0,20.0,19338.6
2016-06-11 02:50:00+0000,0.0,18242.1,0.0,0.0,20.0,18222.1
2016-06-11 02:55:00+0000,0.0,19018.0,0.0,0.0,20.0,18998.0
2016-06-11 03:00:00+0000,0.0,19748.9,0.0,0.0,20.0,19728.9
2016-06-11 03:05:00+0000,0.0,18287.1,0.0,0.0,20.0,18267.1
2016-06-11 03:10:00+0000,0.0,17510.0,0.0,0.0,20.0,17490.0
2016-06-11 03:15:00+0000,0.0,16876.1,0.0,0.0,20.0,16856.1
2016-06-11 03:20:00+0000,0.0,17724.5,0.0,0.0,20.0,17704.5
2016-06-11 03:25:00+0000,0.0,17025.4,0.0,0.0,20.0,17005.4
2016-06-11 03:30:00+0000,0.0,16466.3,0.0,0.0,20.0,16446.3
2016-06-11 03:35:00+0000,0.0,16742.9,0.0,0.0,20.0,16722.9
2016-06-11 03:40:00+0000,0.0,17236.7,0.0,0.0,20.0,17216.7
2016-06-11 03:45:00+0000,0.0,17193.9,0.0,0.0,20.0,17173.9
2016-06-11 03:50:00+0000,0.0,16476.0,0.0,0.0,20.0,16456.0
2016-06-11 03:55:00+0000,0.0,16639.6,0.0,0.0,20.0,16619.6
2016-06-11 04:00:00+0000,0.0,17504.4,0.0,0.0,20.0,17484.4
2016-06-11 04:05:00+0000,0.0,17437.8,0.0,0.0,20.0,17417.8
2016-06-11 04:10:00+0000,0.0,17136.0,0.0,0.0,20.0,17116.0
2016-06-11 04:15:00+0000,0.0,15465.3,0.0,0.0,20.0,15445.3
2016-06-11 04:20:00+0000,0.0,15753.7,0.0,0.0,20.0,15733.7
2016-06-11 04:25:00+0000,0.0,15453.0,0.0,0.0,20.0,15433.0
2016-06-11 04:30:00+0000,0.0,16142.2,0.0,0.0,20.0,16122.2
2016-06-11 04:35:00+0000,0.0,16651.0,0.0,0.0,20.0,16631.0
2016-06-11 04:40:00+0000,0.0,16375.6,0.0,0.0,20.0,16355.6
2016-06-11 04:45:00+0000,0.0,16180.6,0.0,0.0,20.0,16160.6
2016-06-11 04:50:00+0000,0.0,15244.5,0.0,0.0,20.0,15224.5
2016-06-11 04:55:00+0000,0.0,15957.8,0.0,0.0,20.0,15937.8
2016-06-11 05:00:00+0000,0.0,15236.5,0.0,0.0,20.0,15216.5
2016-06-11 05:05:00+0000,0.0,14860.0,0.0,0.0,20.0,14840.0
2016-06-11 05:10:00+0000,0.0,14990.9,0.0,0.0,20.0,14970.9
2016-06-11 05:15:00+0000,0.0,15610.7,0.0,0.0,20.0,15590.7
2016-06-11 05:20:00+0000,0.0,16272.2,0.0,0.0,20.0,16252.2
2016-06-11 05:25:00+0000,0.0,15874.8,0.0,0.0,20.0,15854.8
2016-06-11 05:30:00+0000,0.0,15009.2,0.0,0.0,20.0,14989.2
2016-06-11 05:35:00+0000,0.0,14229.5,0.0,0.0,20.0,14209.5
2016-06-11 05:40:00+0000,31.892,14597.9,0.0,0.0,20.0,14609.792
2016-06-11 05:45:00+0000,259.121,13989.9,0.0,0.0,20.0,14229.021
2016-06-11 05:50:00+0000,581.049,13494.0,0.0,0.0,20.0,14055.049
2016-06-11 05:55:00+0000,898.827,12754.1,0.0,0.0,20.0,13632.927
2016-06-11 06:00:00+0000,1194.41,12196.2,0.0,0.0,20.0,13370.61
2016-06-11 06:05:00+0000,1542.57,13081.1,0.0,0.0,20.0,14603.67
2016-06-11 06:10:00+0000,1889.48,12214.9,0.0,0.0,20.0,14084.38
2016-06-11 06:15:00+0000,2495.55,11068.3,0.0,0.0,20.0,13543.85
2016-06-11 06:20:00+0000,3271.92,10342.8,0.0,0.0,20.0,13594.72
2016-06-11 06:25:00+0000,3602.35,10176.5,0.0,0.0,20.0,13758.85
2016-06-11 06:30:00+0000,3526.42,10845.1,0.0,0.0,30.0,14341.52
2016-06-11 06:35:00+0000,3844.01,9595.56,0.0,0.0,20.0,13419.57
2016-06-11 06:40:00+0000,3469.29,10690.6,0.0,0.0,20.0,14139.89
2016-06-11 06:45:00+0000,3616.45,11546.1,0.0,0.0,20.0,15142.55
2016-06-11 06:50:00+0000,4410.14,10078.4,0.0,0.0,20.0,14468.54
2016-06-11 06:55:00+0000,3415.64,11959.1,0.0,0.0,20.0,15354.74
2016-06-11 07:00:00+0000,2554.2,12865.8,0.0,0.0,20.0,15400.0
2016-06-11 07:05:00+0000,2238.62,11970.9,0.0,0.0,20.0,14189.52
2016-06-11 07:10:00+0000,1890.54,14910.9,0.0,0.0,20.0,16781.44
2016-06-11 07:15:00+0000,2929.33,11166.0,0.0,0.0,20.0,14075.33
2016-06-11 07:20:00+0000,3820.84,11671.5,0.0,0.0,30.0,15462.34
2016-06-11 07:25:00+0000,2119.15,13275.7,0.0,0.0,20.0,15374.85
2016-06-11 07:30:00+0000,922.529,13455.2,0.0,0.0,20.0,14357.729
2016-06-11 07:35:00+0000,1158.8,12896.1,0.0,0.0,20.0,14034.9
2016-06-11 07:40:00+0000,1349.84,14120.8,0.0,0.0,20.0,15450.64
2016-06-11 07:45:00+0000,1482.14,14357.3,0.0,0.0,20.0,15819.44
2016-06-11 07:50:00+0000,2460.88,12917.8,0.0,0.0,20.0,15358.68
2016-06-11 07:55:00+0000,3772.23,10048.3,0.0,0.0,20.0,13800.53
2016-06-11 08:00:00+0000,3895.56,10635.7,0.0,0.0,30.0,14501.26
2016-06-11 08:05:00+0000,5666.62,8663.52,0.0,0.0,30.0,14300.14
2016-06-11 08:10:00+0000,7781.88,6084.72,0.0,0.0,30.0,13836.6
2016-06-11 08:15:00+0000,8033.04,8414.95,0.0,0.0,30.0,16417.99
2016-06-11 08:20:00+0000,10826.8,5650.57,0.0,0.0,20.0,16457.37
2016-06-11 08:25:00+0000,14107.1,2210.55,0.0,485.0,20.0,15812.65
2016-06-11 08:30:00+0000,10202.7,4693.01,0.0,15.0,20.0,14860.71
2016-06-11 08:35:00+0000,10675.5,5421.73,0.0,0.0,0.0,16097.23
2016-06-11 08:40:00+0000,11120.7,4970.28,0.0,0.0,0.0,16090.98
2016-06-11 08:45:00+0000,15395.2,2467.51,0.0,364.201,20.0,17478.509
2016-06-11 08:50:00+0000,22785.5,1810.67,0.0,1898.83,5940.0,16757.34
2016-06-11 08:55:00+0000,13856.7,4770.31,0.0,0.0,10.0,18617.01
2016-06-11 09:00:00+0000,8871.85,11202.3,0.0,0.0,0.0,20074.15
2016-06-11 09:05:00+0000,5248.86,15281.7,0.0,0.0,0.0,20530.56
